"";"User";"Nb of posts";"Nb of Interactions";"Nb of Likes"
"1";"Donbass Insider";1542;96840;25692
"2";"#novorossia";1081;3039;1396
"3";"Iouco-international Observatory Of Ukrainian Conflict";963;4258;2021
"4";"Défense Russie Liberté";820;4027;1662
"5";"Amitié Québec Novorossia";767;1304;568
"6";"Les Fidèles Occidentaux À Vladimir Poutine";715;3290;1369
"7";"La Grande Russie De Poutine";680;5051;2801
"8";"Le Donbass Et L'ukraine En Direct";674;6515;3169
"9";"Rusmedia France - Франция";664;2172;971
"10";"Liberté Pour Le Donbass";554;2326;963
"11";"Tous Avec Poutine !";510;5803;3079
"12";"Union Slave";508;377;169
"13";"Actu Donbass";497;3623;1767
"14";"Donbreizh - La Bretagne Avec Le Donbass Et L 'ukraine";474;491;252
"15";"Pro Separatiste";471;1204;807
"16";"Amis Qui Aiment Росси́я - Российская Федерация - Russia";462;829;500
"17";"Spoetnik Antwerpen-limburg";458;181;98
"18";"Guerre Actuelle";427;1259;897
"19";"Les Amis De La Russie";419;3558;1712
"20";"Pro Russes";367;487;368
"21";"Russophiles Et Francophones";343;2589;1056
"22";"Les Amis Français De Sputniknews";336;1368;528
"23";"Amitiés France-donbass Libre";335;3379;1533
"24";"La Voix Du Donbass";310;782;377
"25";"Antimaïdan France";231;1466;563
"26";"Upr - Vosges 88";106;287;80
"27";"The Life Of Lugansk";98;1025;576
"28";"Actualites Russe";81;205;90
"29";"Europe Et Russie";50;1746;908
"30";"Novorossia News";41;3045;1415
"31";"Vrede Met Rusland";25;688;251
"32";"Les Amis De Vladimir Poutine Et De La Russie/friends Of Vladimir Putin";23;1452;1001
